year_month,egg_price,feed_ppi,electricity_ppi,egg_ppi,egg_cpi,feed_lag1,feed_lag2,feed_lag3,elec_lag1,elec_lag2,elec_lag3
2016-04-01 00:00:00,5259,94.82,98.81,89.81,86.773,94.82,95.69,95.69,98.81,98.81,98.81
2016-05-01 00:00:00,5216,94.82,98.81,85.53,84.645,94.82,94.82,95.69,98.81,98.81,98.81
2016-06-01 00:00:00,5260,94.82,98.81,87.35,84.451,94.82,94.82,94.82,98.81,98.81,98.81
2016-07-01 00:00:00,5272,94.82,98.81,95.35,84.665,94.82,94.82,94.82,98.81,98.81,98.81
2016-08-01 00:00:00,5332,94.82,100.0,97.0,85.258,94.82,94.82,94.82,98.81,98.81,98.81
2016-09-01 00:00:00,5590,94.82,100.0,117.83,89.047,94.82,94.82,94.82,100.0,98.81,98.81
2016-10-01 00:00:00,5581,94.82,100.0,111.55,90.009,94.82,94.82,94.82,100.0,100.0,98.81
2016-11-01 00:00:00,5545,94.38,100.0,112.0,91.418,94.82,94.82,94.82,100.0,100.0,100.0
2016-12-01 00:00:00,6621,94.38,100.0,139.66,99.406,94.38,94.82,94.82,100.0,100.0,100.0
2017-01-01 00:00:00,9096,94.38,100.0,196.8,149.75,94.38,94.38,94.82,100.0,100.0,100.0
2017-02-01 00:00:00,7932,94.38,100.0,162.42,137.254,94.38,94.38,94.38,100.0,100.0,100.0
2017-03-01 00:00:00,7326,94.82,100.0,159.14,124.913,94.38,94.38,94.38,100.0,100.0,100.0
2017-04-01 00:00:00,7635,94.82,100.0,176.61,132.065,94.82,94.38,94.38,100.0,100.0,100.0
2017-05-01 00:00:00,7958,94.82,100.0,192.25,142.093,94.82,94.82,94.38,100.0,100.0,100.0
2017-06-01 00:00:00,7951,94.82,100.0,190.8,142.87,94.82,94.82,94.82,100.0,100.0,100.0
2017-07-01 00:00:00,7876,94.82,100.0,170.14,139.508,94.82,94.82,94.82,100.0,100.0,100.0
2017-08-01 00:00:00,7233,94.82,100.0,146.5,130.733,94.82,94.82,94.82,100.0,100.0,100.0
2017-09-01 00:00:00,5650,94.82,100.0,111.55,110.882,94.82,94.82,94.82,100.0,100.0,100.0
2017-10-01 00:00:00,5573,94.82,100.0,111.01,106.655,94.82,94.82,94.82,100.0,100.0,100.0
2017-11-01 00:00:00,5785,94.46,100.0,119.28,108.044,94.82,94.82,94.82,100.0,100.0,100.0
2017-12-01 00:00:00,5691,94.46,100.0,108.65,107.451,94.46,94.82,94.82,100.0,100.0,100.0
2018-01-01 00:00:00,5337,94.46,100.0,95.45,102.34,94.46,94.46,94.82,100.0,100.0,100.0
2018-02-01 00:00:00,5264,94.46,100.0,87.62,99.017,94.46,94.46,94.46,100.0,100.0,100.0
2018-03-01 00:00:00,4756,94.46,100.0,69.79,92.837,94.46,94.46,94.46,100.0,100.0,100.0
2018-04-01 00:00:00,4222,94.46,100.0,77.07,85.763,94.46,94.46,94.46,100.0,100.0,100.0
2018-05-01 00:00:00,4326,94.46,100.0,79.07,86.968,94.46,94.46,94.46,100.0,100.0,100.0
2018-06-01 00:00:00,4037,94.46,100.0,59.6,82.984,94.46,94.46,94.46,100.0,100.0,100.0
2018-07-01 00:00:00,4200,95.98,100.0,73.17,83.431,94.46,94.46,94.46,100.0,100.0,100.0
2018-08-01 00:00:00,4860,97.08,100.0,99.27,90.301,95.98,94.46,94.46,100.0,100.0,100.0
2018-09-01 00:00:00,5539,97.08,100.0,117.03,97.414,97.08,95.98,94.46,100.0,100.0,100.0
2018-10-01 00:00:00,5390,97.08,100.0,100.55,96.413,97.08,97.08,95.98,100.0,100.0,100.0
2018-11-01 00:00:00,5187,97.08,100.0,86.08,92.633,97.08,97.08,97.08,100.0,100.0,100.0
2018-12-01 00:00:00,5075,97.08,100.0,82.17,91.739,97.08,97.08,97.08,100.0,100.0,100.0
2019-01-01 00:00:00,4971,97.08,100.0,72.16,89.64,97.08,97.08,97.08,100.0,100.0,100.0
2019-02-01 00:00:00,4797,97.08,100.0,64.3,86.929,97.08,97.08,97.08,100.0,100.0,100.0
2019-03-01 00:00:00,4728,97.08,100.0,67.1,83.489,97.08,97.08,97.08,100.0,100.0,100.0
2019-04-01 00:00:00,5184,98.22,100.0,93.58,90.553,97.08,97.08,97.08,100.0,100.0,100.0
2019-05-01 00:00:00,5206,98.22,100.0,82.11,92.021,98.22,97.08,97.08,100.0,100.0,100.0
2019-06-01 00:00:00,5071,98.22,100.0,81.84,90.398,98.22,98.22,97.08,100.0,100.0,100.0
2019-07-01 00:00:00,5125,98.22,100.0,86.54,91.865,98.22,98.22,98.22,100.0,100.0,100.0
2019-08-01 00:00:00,4985,98.22,100.0,84.91,89.825,98.22,98.22,98.22,100.0,100.0,100.0
2019-09-01 00:00:00,5250,98.22,100.0,100.01,93.031,98.22,98.22,98.22,100.0,100.0,100.0
2019-10-01 00:00:00,5469,98.99,100.0,107.51,98.142,98.22,98.22,98.22,100.0,100.0,100.0
2019-11-01 00:00:00,5514,98.99,100.0,105.16,99.503,98.99,98.22,98.22,100.0,100.0,100.0
2019-12-01 00:00:00,5353,98.99,100.0,106.98,99.415,98.99,98.99,98.22,100.0,100.0,100.0
